Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Legal Bases,Are there any exceptions to the legal age of marriage?,Legal Bases,Is marriage under the legal age void or explicitly prohibited?,Legal Bases,Are there penalties for authorizing or entering into child or early marriage?,Legal Bases,Does the legislation establish clear criminal penalties for domestic violence?,Legal Bases,Is there a specialized court or procedure for cases of domestic violence?,Legal Bases,Can a woman obtain a national identity card in the same way as a married man? ,Legal Bases,Is customary law a valid source of law under the constitution?,Legal Bases,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?",Legal Bases
2020,Dominica,DMA,Latin America & Caribbean,Upper middle income,18,"Marriage Act, Sec. 30(2)",Yes,"Marriage Act, Sec. 29(2) and 30(1)",Yes,"Marriage Act, Sec. 29(2)",Yes,"Marriage Act, Sec. 64",Yes,"Protection against Domestic Violence Act No. 22 of 2001, Sec. 32(1)",Yes,"Protection against Domestic Violence Act No. 22 of 2001, Part VII and Secs. 35-39",N/A,No applicable provisions could be located ,No,Constitution of the Commonwealth of Dominica,N/A,
2020,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,18,"Ley No. 4999, Art. 4(1)",Yes,"Ley No. 4999, Art. 4",Yes,"Ley No. 659, Art. 61(4), (6) y (12)",Yes,"Ley No. 659, Art. 56(7); Código Penal, Art. 193",Yes,"Ley 24-97 sobre Violencia Intrafamiliar y contra la Mujer, Arts. 3(309-2 y 309-3) y 8(332)",Yes,"Ley 24-97 sobre Violencia Intrafamiliar y contra la Mujer, Art. 3(309-4 y 309-5)",Yes,"Ley No. 8-92, Art. 5; ID card application procedures",No,Constitución de la República Dominicana,N/A,
2020,Ecuador,ECU,Latin America & Caribbean,Upper middle income,18,"Código Civil, Art. 83",No,No applicable provisions could be located,Yes,"Código Civil, Arts. 83 and 95(2)",No,No applicable provisions could be located,Yes,"Código Orgánico Integral Penal, Arts. 156-159",Yes,"Código Orgánico Integral Penal, Art. 643; Código Orgánico de la Función Judicial, Art. 232",Yes,"Ley Orgánica de Gestión de la Identidad y Datos Civiles, Art. 93; ID card application procedures",No,Constitución de la República del Ecuador,N/A,
2020,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,18,"Child Law, Annex, Art. 31-bis",No,No applicable provisions could be located ,Yes ,"Child Law, Annex, Art. 31-bis",Yes ,"Penal Code, Art. 227",Yes,"Penal Code,  Arts. 375 bis and 375 bis (1) ",No,No applicable provisions could be located,No,"Executive Regulations of the Civil Affairs Law No. 1121 of 1995, Art. 33; ID card application form",No,"Constitution of the Arab Republic of Egypt, 2014",N/A,
2020,El Salvador,SLV,Latin America & Caribbean,Lower middle income,18,"Código de Família, Art. 14",No,No applicable provisions could be located,Yes,"Código de Família, Art. 90(4a)",No,No applicable provisions could be located,Yes,"Código Penal, Arts. 31, 129(1), 162(1) y (7), y 200; Ley Especial Integral para una Vida Libre de Violencia para las Mujeres, Arts. 46(c), 53 y 54",Yes,"Ley Contra la Violencia Intrafamiliar, Cap. III; Ley Especial Integral para una Vida Libre de Violencia para las Mujeres, Cap. II",Yes,"Decreto No. 581, Arts. 3 y 4; ID card application procedures",No,Constitución de la República de El Salvador,N/A,
2020,Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,18,"Ley Fundamental, Art. 12",Yes,"Código Civil, Art. 48",Yes,"Código Civil, Art. 83(1) y 101(1)",Yes,"Código Penal, Art. 478",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID card application form ,No,Ley Fundamental de Guinea Ecuatorial,N/A,
2020,Eritrea,ERI,Sub-Saharan Africa,Low income,18,"Constitution of Eritrea article 22(2); Transitional Civil Code, Art. 46(2)",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Transitional Civil Code, Art. 607",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID card application form ,..,No constitution in force,N/A,
2020,Estonia,EST,High income: OECD,High income,18,"Family Law, Sec. 1(2); Civil Code, Sec. 8(2)",Yes,"Family Law, Sec. 1(3) and (4)",Yes,"Family Law, Sec. 9(1)(1)",No,No applicable provisions could be located,Yes,"Penal Code, Arts. 58(4) and 121(2)(2)",No,No applicable provision could be located,Yes,"Identity Documents Act, Art. 19; ID card application form",No,Constitution of the Republic of Estonia,N/A,
2020,Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,21,"Marriage Act, 1964, Sec. 3(2)",Yes,"Marriage Act, 1964, Sec. 3",No,No applicable provisions could be located,Yes,"Marriage Act, 1964, Sec. 23",Yes,"Sexual Offences and Domestic Violence Act, 2018, Sec. 77 (1)",Yes,"Sexual Offences and Domestic Violence Act, 2018, Sec. 83",Yes,ID card application procedures; Identification Order of 1998,Yes,"Constitution of the Kingdom of Swaziland, Art. 252(2)",Yes,"Constitution of the Kingdom of Swaziland, Arts. 2(1) and 252(3)"
2020,Ethiopia,ETH,Sub-Saharan Africa,Low income,18,"Revised Family Code, Art. 7(1)     ",Yes,"Revised Family Code, Art. 7(2)     ",Yes,"Revised Family Code, Art. 31(1)     ",Yes,"Criminal Code, Art. 648     ",Yes,"Criminal Code, Art. 564",Yes,Victim- friendly benches in the federal courts and also at regional level     ,N/A,No applicable provisions could be located,Yes,"Constitution of the Federal Republic of Ethiopia, Arts. 34 and 78",Yes,"Constitution of the Federal Democratic Republic of Ethiopia, Art. 9(1)"
2020,Fiji,FJI,East Asia & Pacific,Upper middle income,18,"Marriage Act (Amendment) Decree, Part 2, Secs. 2 and 3(12)",No,No applicable provisions could be located,Yes,"Family Law Act, Div. 2, Sec. 32(2)(e); Marriage Act Amendment Decree, Part 2, Sec. 3(12)",Yes,"Marriage Act (Amendment) Decree, Part 2, Sec. 9(29)",No,No applicable provisions could be located,Yes,"Domestic Violence Decree, Part 1, Secs. 8, 10 and Part 5",N/A,No applicable provisions could be located ,No,No applicable provisions could be located ,N/A,
2020,Finland,FIN,High income: OECD,High income,18,"Marriage Act, Sec. 4",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Act on Restraining Orders, Sec. 6",Yes,"Law on ID Card of 2016, Art. 1; ID card application procedures",No,Constitution of Finland,N/A,
2020,France,FRA,High income: OECD,High income,18,"Code Civil, Arts. 144 et 414",Yes,"Code Civil, Arts. 145 et 148-160",Yes,"Code Civil, Arts. 182, 184 et 187",Yes,"Code Civil, Arts. 156 et 157",Yes,"Code Pénal, Arts. 132-80, 222-8(4° ter) et 222-24(11°)",Yes,"Code Civil, Arts. 515.9, 515.10 et 515.11(7)",Yes,"Décret No. 55-1397 du 22 Octobre 1955 Instituant la Carte Nationale d'Identité, Arts. 2 et 4; ID card application procedures",No,Constitution de la République Française,N/A,
2020,Gabon,GAB,Sub-Saharan Africa,Upper middle income,21,"Code Civil, Art. 205",Yes,"Code Civil, Arts. 203 et 205",No,No applicable provisions could be located,Yes,"Loi No. 042/2018 du 05 juillet 2019 portant Code Pénal, Art. 410",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID card application procedures; Décret No. 111/PR/MISPID du 25 Septembre 2011,No,Constitution de la République Gabonaise,N/A,
2020,"Gambia, The",GMB,Sub-Saharan Africa,Low income,18,"Children's Act, 2005, Secs. 2 and 24",No,No applicable provisions could be located,Yes,"Children's Act, 2005, Sec. 24",Yes,"Children's Act, 2005, Sec. 24",Yes,"Women's Act 2010, Secs. 6 and 74; Domestic Violence Act 2013, Sec. 17(2)",Yes,"Domestic Violence Act 2013, Secs. 26, 28, 30 and 32",Yes,ID card application procedures; ID card application form,Yes,"Constitution of The Gambia, Art. 7(e)",No,"The Constitution of the Republic of The Gambia, 1997 sec. 33"
2020,Georgia,GEO,Europe & Central Asia,Upper middle income,18,"Civil Code, Art. 1108(1)",No,No applicable provisions could be located,Yes,"Civil Code, Arts. 1140 and 1142",No,No applicable provisions could be located,Yes,"Criminal Code, Arts. 11-1 and 126-1",Yes,"Law of Georgia on Elimination of Domestic Violence, Protection and Support of Victims of Domestic Violence, Arts. 10 and 12; Code of Administrative Procedure, Ch. VII-17",Yes,"Law of Georgia on the Procedure for Registering the Citizens of Georgia and Aliens Residing in Georgia, for Issuing Identity (Residence) Cards and Passports of a Citizen of Georgia Art. 11(1) ; ID card application procedures",No,Constitution of Georgia,N/A,
2020,Germany,DEU,High income: OECD,High income,18,"Civil Code, Secs. 2 and 1303(1)",Yes,"Civil Code, Sec. 1303(2)",Yes,Civil Code Sec. 1314(1),No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Act on Proceedings in Family Matters, Sec. 210",Yes,"Act on Identity Cards and Electronic Identification, Secs. 1 and 5; Attachments to the Ordinance on Identity Cards and Electronic Identification",No,Basic Law for the Federal Republic of Germany,N/A,
2020,Ghana,GHA,Sub-Saharan Africa,Lower middle income,18,"The Children's Act, 1998, Sec. 14(2)",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"The Children's Act, 1998, Sec. 15",Yes," Domestic Violence Act, 2007, Sec. 3(2)",Yes,"Domestic Violence Act, 2007 Secs. 12-13  ",Yes,"National Identity Register Act, Arts. 28-3; National Identity Register Regulations, Art. 3 and Schedule",Yes,"Constitution of the Republic of Ghana, Arts. 11(1)-(3) and 272",No,"Constitution of the Republic of Ghana, Art. 17(4)"
2020,Greece,GRC,High income: OECD,High income,18,"Civil Code, Art. 1350",Yes,"Civil Code, Art. 1350",Yes,"Civil Code, Arts. 128-130, 1372 and 1378",No,No applicable provisions could be located,Yes,"Law No. 3500/2006, Art. 6-9",Yes,"Law No. 3500/2006, Ch. V",Yes,Law 3021/19/53/25; ID card application procedures,No,Constitution of Greece,N/A,
2020,Grenada,GRD,Latin America & Caribbean,Upper middle income,18,"Marriage Act, Sec. 20(1)",Yes,"Marriage Act, Secs. 3(3) and 20(2)-(4)",Yes,"Marriage Act, Sec. 3(3)",Yes,"Criminal Code, Sec. 423; Marriage Act, Secs. 20(4) and 47",Yes,"Domestic Violence Act, 2010, Arts. 21, 24 and 36",Yes,"Domestic Violence Act, 2010, Arts. 25-28",N/A,No applicable provisions could be located ,No,Constitution of Grenada 1973,N/A,
2020,Guatemala,GTM,Latin America & Caribbean,Upper middle income,18,"Decreto Número 8-2015, Art. 1 (Código Civil, Art. 81)",No,No applicable provisions could be located,Yes,Decreto 13-2017 del Congreso de la República,Yes,"Código Penal, Art. 230",Yes,"Ley contra el Femicidio y otras Formas de Violencia contra la Mujer, Cap. IV; Código Penal, Arts. 131, 174(5) y 483(2)",Yes,Acuerdo 30-2010 de la Corte Suprema de Justicia - Reglamento de Gestión para los Juzgados y Tribunales con competencia en delitos de Femicidio y otras formas de Violencia Contra la Mujer; Acuerdo 43-2012 de la Corte Suprema de Justicia,Yes,"Ley del Registro Nacional de las Personas, Arts. 5 y 56; ID card application procedures",No,Constitución Política de la República de Guatemala,N/A,
2020,Guinea,GIN,Sub-Saharan Africa,Low income,18,"Code Civil, Arts. 241, 512 et 578; Code de l'enfant Guinéen, Art. 314 ",Yes,"Code Civil, Arts. 241 et 243; Code de l'enfant Guinéen, Arts. 314 et 317",Yes,"Code Civil, Art. 273; Code de L'Enfant Guinéen, Arts. 321-323",Yes,"Code de L'Enfant Guinéen, Arts. 829-831",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Décret D/95/254/PRG/SGG, Arts. 1er-5; ID card application form",No,Constitution de la République de Guinée,N/A,
2020,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,18,"Civil Code, Arts. 130, 1612 and 1649; Law 5/76, Art. 1",Yes,"Civil Code, Arts. 1601(a) and 1612",Yes,"Civil Code, Arts. 1601(a) and 1631(a)",Yes,"Civil Code, Art. 1649",Yes,"Law No. 6/2014, Arts. 17-27",Yes,"Law No. 6/2014, Ch. VII",Yes,ID card application form Ministry of Justice Decree 1/26 of August 17,No,Constitution of the Republic of Guinea-Bissau,N/A,
2020,Guyana,GUY,Latin America & Caribbean,Upper middle income,18,"Marriage Act, Sec. 31(2)",Yes,"Marriage Act, Secs. 31-33",Yes,"Marriage Act, Sec. 32(1)",Yes,"Marriage Act, Sec. 69",No,No applicable provisions could be located,Yes,"Domestic Violence Act, Secs. 17-32",Yes,ID card application procedures ,No,Constitution of the Co-operative Republic of Guyana,N/A,
2020,Haiti,HTI,Latin America & Caribbean,Low income,18,"Code Civil, Art. 139",Yes,"Code Civil, Arts. 133, 136 et 139",Yes,"Code Civil, Arts. 133, 168 et 170",Yes,"Code Civil, Art. 144; Code Penal, Art. 154 et 156",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Décret sur le Numéro d'Identification Nationale Unique et la Carte d'Identification Nationale du 18 Juin 2020; Décret Relatif à la Carte d'Identification Nationale, 2005, Art. 4",No,Constitution de la République d'Haïti,N/A,
2020,Honduras,HND,Latin America & Caribbean,Lower middle income,21,"Código de Família, Art. 16",Yes,"Código de Familia, Arts. 16 y 17",Yes,"Código de Família, Arts. 21 y 228",Yes,"Código Penal, Arts. 279 y 280",Yes,"Código Penal, Arts. 289 y 290",Yes,"Ley contra la Violencia Doméstica, Arts. 11-19",Yes,"Ley del Registro Nacional de las Personas, Art. 88; ID card application procedures",No,Constitución de la República de Honduras,N/A,
2020,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,21,"Marriage Ordinance, Sec. 14(1)(a)",Yes,"Marriage Ordinance, Sec. 14(1) and Schedule 3",Yes,"Marriage Ordinance, Sec. 27(2)(b)",Yes,"Marriage Ordinance, Secs. 29 and 30",Yes,"Domestic and Cohabitation Relationships Violence Ordinance, Sec. 5(1B)",Yes,"Domestic and Cohabitation Relationships Violence Ordinance, Secs. 3-4 and 8",Yes,"Registration of Persons Ordinance, Ch. 177, Sec. 3; ID card application procedures",Yes,"Basic Law, Art. 8",Yes,"Basic Law, Art. 8"
2020,Hungary,HUN,High income: OECD,High income,18,"Civil Code, Secs. 2:10(1) and 4:9(1); Act on Marriage, Family and Guardianship 2009, Sec. 10",Yes,"Civil Code, Secs. 4:9(2)-(4)",Yes,"Civil Code, Sec. 4:9(1); Act on Marriage, Family and Guardianship 2009, Secs. 7-13",Yes,"Criminal Code, Sec. 213(2)(b)",Yes,"Criminal Code, Secs. 197(3)(b) and 212/A",Yes,"Act LXXII of 2009 on Restraining Orders Related to Violence Between Relatives, Chapter III, Secs. 12-17",Yes,"Government Decree 414/201 on Issuance of an ID Card, Arts. 15-22; ID card application procedures",No,Fundamental Law of Hungary,N/A,
2020,Iceland,ISL,High income: OECD,High income,18,"Marriage Act, Art. 7",Yes,"Marriage Act, Art. 7",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Penal Code, Arts. 70 and 218.b",Yes,"Act on Restraining Orders, Ch. IV",Yes,ID card application procedures; ID card application form,No,Constitution of the Republic of Iceland,N/A,
2020,India-Mumbai,IND,South Asia,Lower middle income,18,"The Prohibition of Child Marriage Act, Sec. 2(a)(b); Hindu Marriage Act, Sec. 5(III)    ",No,No applicable provisions could be located,Yes,"The Prohibition of Child Marriage Act, Secs. 3 and 12-14",Yes,"The Prohibition of Child Marriage Act, Secs. 9-11",Yes,"The Protection of Women from Domestic Violence Act, Secs. 5(e) and 31(3); Indian Penal Code, Sec. 498A ",Yes,"The Protection of Women from Domestic Violence Act, Ch. IV, Secs. 12-16 and 27-28  ",N/A,No applicable provisions could be located,No,"Constitution of India, Art. 13(3)(a)",N/A,
2020,Indonesia,IDN,East Asia & Pacific,Upper middle income,21,"Law on Marriage, Art. 6(2)",Yes,"Law on Marriage, Arts. 6 and 7; Law on Marriage (Amendment), Art. I(1)",Yes,"Law on Marriage, Arts. 16(1), 20 and 22",Yes,"Law on Marriage, Art. 61(3)",Yes,"Law Regarding Elimination of Violence in Household, Arts. 44-53",Yes,"Law Regarding Elimination of Violence in Household, Arts. 30 and 37",Yes,"Administration of Population Law, Arts. 2 and 63",Yes,"Constitution of the Republic of Indonesia, Art. 18B(2)",Yes,"Constitution of the Republic of Indonesia, Art. 18B(2)"
2020,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,..,"Civil Code, Arts. 1041 and 1043",Yes,"Civil Code, Art. 1041",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"ID card application procedures Executive Bylaw on the Law of Allotting Identification Numbers and Postal Codes to all Iranian Nationals, Art. 2",No,Constitution of the Islamic Republic of Iran,N/A,
2020,Iraq,IRQ,Middle East & North Africa,Upper middle income,18,"Personal Status Law, Art. 7(1)",Yes,"Personal Status Law, Art. 8",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Official Gazette of Iraq, 4368",Yes,"Civil Status Law, Arts. 44(1) and 45; National ID Law, Ch. IX",No,Iraqi Constitution,N/A,
2020,Ireland,IRL,High income: OECD,High income,18,"Family Law Act (1995), Sec. 31(1)(a)(i)",No,No applicable provisions could be located,Yes,"Family Law Act (1995), Sec. 31(1)(a)(i)",Yes,"Family Law Act (1995), Sec. 31(4)",Yes,"The Domestic Violence Act 2018, Sec. 40",Yes,"Domestic Violence Act 2018, Part 2",N/A,No applicable provisions could be located ,No,Constitution of Ireland,N/A,
2020,Israel,ISR,High income: OECD,High income,18,"Marriage Age Law, Art. 1; Legal Capacity and Guardianship Law, Art. 3",Yes,"Marriage Age Law, Art. 5",Yes,"Marriage Age Law, Art. 3",Yes,"Marriage Age Law, Arts. 2 and 3",Yes,"Penal Law, Sec. 382(b)",Yes,"Prevention of Family Violence Law, Secs. 2-4",Yes,ID card application form; ID card application procedures ,No,Basic Law: The Judiciary,N/A,
2020,Italy,ITA,High income: OECD,High income,18,"Civil Code, Arts. 2 and 84",Yes,"Civil Code, Art. 84",Yes,"Civil Code, Art. 117",Yes,"Civil Code, Art. 136",Yes,"Law No. 119/2013, Arts. 1(2) and 1(3); Criminal Code, Arts. 572, 577, 609-ter(5-quater) and 612-bis",Yes,"Law 119/2013, Arts. 2 and 3; Code of Criminal Procedure, Art. 282-quater",Yes,"Legal Decree No. 7 of 13 May 2011, Art. 1; ID card application procedures",No,Constitution of the Italian Republic,N/A,
2020,Jamaica,JAM,Latin America & Caribbean,Upper middle income,18,"Marriage Act, Sec. 24",Yes,"Marriage Act, Secs. 3(2) and 24",Yes,"Marriage Act, Sec. 3(2)",Yes,"Marriage Act, Secs. 55 and 68",No,No applicable provisions could be located,Yes,"Domestic Violence Act, Secs. 2(1), 4, 7, 8, 14",N/A,No applicable provisions could be located,No,Constitution of Jamaica,N/A,
2020,Japan,JPN,High income: OECD,High income,20,"Civil Code, Arts. 4 and 737",Yes,"Civil Code, Arts. 731 and 737",Yes,"Civil Code, Arts. 744(1) and 745",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Act No. 31 on the Prevention of Spousal Violence and the Protection of Victims, Arts. 13-15",N/A,No applicable provisions could be located ,No,Constitution of Japan,N/A,
2020,Jordan,JOR,Middle East & North Africa,Upper middle income,..,"Personal Status Law, Arts. 14 and 19",Yes,"Personal Status Law , Arts. 10(b) and 18",Yes,"Personal Status Law , Arts. 31(g) and 35",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Law on the Protection from Domestic Violence, Arts. 13-18",Yes,"Civil Status Law No. 9 of 2001, Art. 38; ID card application form",No,Constitution of the Hashemite Kingdom of Jordan,N/A,
2020,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,18,"Marriage (Matrimony) and Family Code, Art. 10(1)",Yes,"Marriage (Matrimony) and Family Code, Art. 10(2)",Yes,"Marriage (Matrimony) and Family, Arts. 25 and 26",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Law on Prevention of Domestic Violence, Arts. 20 and 23",Yes," Law on Identity Documents, Arts. 7 and 9; ID card application procedure",No,Constitution of Kazakhstan,N/A,
2020,Kenya,KEN,Sub-Saharan Africa,Lower middle income,18,"Marriage Act, 2014, Sec. 4",No,No applicable provisions could be located,Yes,"Marriage Act, 2014, Sec. 11(a)   ",Yes,"Protection Against Domestic Violence Act, Sec. 3(a); Children's Act, Sec.14; Marriage Act, 2014, Sec. 87",No,No applicable provisions could be located,Yes,"Protection Against Domestic Violence Act, 2015, Secs. 8, 12, and 24-28",Yes,"Registration of Persons Act, Art. 5; ID card application form",Yes,"Constitution of Kenya, Arts. 2 and 45(4)",Yes,"Constitution of Kenya, Art. 2(4) "
2020,Kiribati,KIR,East Asia & Pacific,Lower middle income,21,"Marriage Ordinance, Sec. 7",Yes,"Marriage (Amendment) Act, Sec. 2; Marriage Ordinance, Sec. 7",Yes,"Marriage Ordinance, Secs. 5(as amended) and 7(1); Marriage (Amendment) Act, Sec. 2",Yes,"Marriage Ordinance, Secs. 12 and 28(c)",Yes,"Family Peace Act, Part 6",Yes,"Family Peace Act, Part 7",Yes,"National Identity Registration Bill 2018, Sec. 16; 
ID Card Application Form",No,Constitution of Kiribati,N/A,
2020,"Korea, Rep.",KOR,High income: OECD,High income,19,"Civil Act, Arts. 4, 801 and 808",Yes,"Civil Act, Arts. 4, 807 and 808",Yes,"Civil Act, Arts. 816(1) and 817",No,No applicable provisions could be located,Yes,"Act 5436, Art. 2(3)",Yes,"Act 5436, Arts. 10-15, Secs. 2-3 and Chs. III-IV",Yes,"Enforcement Decree of the Resident Registration Act, Art. 36",No,Constitution of the Republic of Korea,N/A,
2020,Kosovo,KSV,Europe & Central Asia,Upper middle income,18,"Family Law of Kosovo, Arts. 15 and 16(1)",Yes,"Family Law of Kosovo, Arts. 16(2) and (3)",Yes,"Family Law of Kosovo, Art. 64",Yes,"Criminal Code, Art. 239",Yes,"Criminal Code, Art. 248 ",Yes,"Law on Protection against Domestic Violence, Arts. 3 and 14-21",Yes,"Law on Identity Cards, Art. 3(1)",No,Constitution of the Republic of Kosovo,N/A,
2020,Kuwait,KWT,Middle East & North Africa,High income,..,"Personal Status Law, Art. 26",Yes,"Personal Status Law, Arts. 8 and 26",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID Card application procedures ,No,Constitution of Kuwait,N/A,
2020,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,18,"Family Code, Art. 14(1)",Yes,"Family Code, Art. 14(2)",Yes,"Family Code, Arts. 28(1) and 29",Yes,"Penal Code, Art. 178",Yes,"Code of Misconduct, Art. 75",Yes,"Law on Safeguarding and Protecting Against Domestic Violence, Art. 27",Yes,"Decree of the Goverment of Kyrgyz Republic No. 238 of April 21, 2017, Art. 13",Yes,"Constitution of Kyrgyz Republic, Arts. 37(1) and 59",Yes,"Constitution of Kyrgyz Republic, Arts. 6(1) and 37(1)"
2020,Lao PDR,LAO,East Asia & Pacific,Lower middle income,18,"Civil Code, Art. 150(1)",No,No applicable provisions could be located,Yes,"Civil Code, Art. 158(1)",Yes,"Penal Law, Arts. 268 and 269",Yes,"Law on Development and Protection of Women, Art. 50; Law on Preventing and Combatting Violence against Women and Children, Art. 79",Yes,"Decree on the Implementation of the Law on Development and Protection of Women, Art. 35; Law on Preventing and Combatting Violence against Women and Children, Art. 59",Yes,"Family Registration Law 2018, Art. 16",No,Constitution of Lao PDR,N/A,
2020,Latvia,LVA,High income: OECD,High income,18,"Civil Law, Sec. 32",Yes,"Civil Law, Sec. 33",Yes,"Civil Law, Sec. 61",No,No applicable provisions could be located,Yes,"Criminal Law, Sec. 48(1)(15)",Yes,"Civil Procedure Law, Ch. 30.5; Criminal Procedure Law, Sec. 243(1)",Yes,"Regulation on Personal Identification Documents, Arts. 2 and 23",No,Constitution of the Republic of Latvia,N/A,
2020,Lebanon,LBN,Middle East & North Africa,Upper middle income,..,;,..,;,No,No applicable provisions could be located,No,No applicable provisions could be located ,Yes,"Domestic Violence Law, Arts. 3(a)(4) and 3(a)(7)(a)-(b)",Yes,"Domestic Violence Law, Arts. 11 and 13",Yes,ID card application procedures  ,No,The Lebanese Constitution,N/A,
2020,Lesotho,LSO,Sub-Saharan Africa,Lower middle income,21,"UN Convention on the Rights of the Child Lesotho Report, Sec. II (27); Marriage Act, Arts. 25(1) and 27(1)",Yes,"Marriage Act, Arts. 25(2), 26(1) and 27(1)",No,No applicable provisions could be located,Yes,"Marriage Act, Art. 37",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"National Identity Cards Act of 2011, Arts. 12 and 14; ID card application form",Yes,"Constitution of Lesotho, Art. 18(4)(c)",No,"Constitution of Lesotho, Art. 18(4)(c)"
2020,Liberia,LBR,Sub-Saharan Africa,Low income,18,"Domestic Relations Law, Sec. 2.2(1); Children's Law of 2011, Article VI, Sec. 4(a)",Yes,"Domestic Relations Law, Sec. 2.2(2)",Yes,"Domestic Relations Law, Secs. 2.2(3), 6.1(c) and 7.1(a)",Yes,"Domestic Relations Law, Secs. 2.16(b)(ii) and 2.16(c)(i); An Act to Amend Sections 14, 16, 17 and 18 of the Penal Law, Title 26, Sec. 3(16.15)",Yes,"Domestic Violence Act of 2019, Sec. 16.24",No,No applicable provisions could be located,Yes,ID card application procedures ,Yes,"Constitution of Liberia, Art. 65",Yes,"Constitution of Liberia, Art. 2"
2020,Libya,LBY,Middle East & North Africa,Upper middle income,..,"Law on Marriage and Divorce, Art. 6(b); Law No. 14 of 2015 Amending Law on Marriage and Divorce, Art. 1(Art. 6(a))",Yes,"Law No. 14 of 2015 Amending Law on Marriage and Divorce, Art. 1(Art. 6(b))",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,ID card application procedures ,No,Constitutional Declaration 2011,N/A,
2020,Lithuania,LTU,High income: OECD,High income,18,"Civil Code, Art. 3.14(1)",Yes,"Civil Code, Art. 3.14 (2)(5)",Yes,"Civil Code, Art. 3.38(2)",No,No applicable provisions could be located,Yes,"Criminal Code, Arts. 129.2 (3), 135.2(3), 138.2(3), 140.2",Yes,"Law on Protection Against Domestic Violence, Art. 5; Code of Criminal Procedure, Arts. 167(3) and 185(2)",Yes," Law on Identity Card and Passport, Art. 3; Regulation on Passport and Identity cards forms and Approval of Issuing Procedure, Arts. 3, 12 and 13 ",No,Constitution of the Republic of Lithuania,N/A,
2020,Luxembourg,LUX,High income: OECD,High income,18,"Code Civil, Arts. 144, 148 et 488",Yes,"Code Civil, Arts. 145 et 148",No,No applicable provisions could be located,Yes,"Code Pénal, Arts. 264 et 265",Yes,"Loi du 8 septembre 2003, Art. VI; Code Pénal, Art. 377",Yes,"Loi du 30 juillet 2013 portant modification de la loi du 8 septembre 2003, Arts. VIII-X et XIII-XIV",Yes,"Loi du 9 Juin 2013 Relative à l'Identification des Personnes Physiques, Art. 1; ID card application procedures",No,Constitution du Grand-Duché de Luxembourg,N/A,
2020,Madagascar,MDG,Sub-Saharan Africa,Low income,18,"Loi No. 2007-022, Art. 3",Yes,"Loi No. 2007-022, Art. 3",Yes,"Loi No. 2007-022, Arts. 3 et 39",No,No applicable provisions could be located,Yes,"Loi No. 2019-008 relative à la lutte contre les Violences Basées sur le Genre, Titre II",Yes,"Loi No. 2019-008 relative à la lutte contre les Violences Basées sur le Genre, Titre III",Yes,ID card application procedures ,No,Constitution de la Quatrième République de Madagascar,N/A,
2020,Malawi,MWI,Sub-Saharan Africa,Low income,18,"Republic of Malawi (Constitution) Act, Sec. 22(6); Marriage, Divorce and Family Relations Act, Sec. 14",No,No applicable provisions could be located,No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Prevention of Domestic Violence Act, Sec. 39",Yes,"Prevention of Domestic Violence Act, Part VII, Secs. 47-53 and 55",Yes,ID card application procedures,Yes,"Constitution of Malawi, Arts. 10(2) and 200",Yes,"Constitution of Malawi, Arts. 5 and 24(2)"
