Year,Economy,EconomyCode,Region,IncomeGroup,What is the legal age of marriage for girls?,Legal Bases,Are there any exceptions to the legal age of marriage?,Legal Bases,Is marriage under the legal age void or explicitly prohibited?,Legal Bases,Are there penalties for authorizing or entering into child or early marriage?,Legal Bases,Does the legislation establish clear criminal penalties for domestic violence?,Legal Bases,Is there a specialized court or procedure for cases of domestic violence?,Legal Bases,Can a woman obtain a national identity card in the same way as a married man? ,Legal Bases,Is customary law a valid source of law under the constitution?,Legal Bases,"If customary law is a valid source of law under the constitution, is it considered invalid if it violates constitutional provisions on nondiscrimination or equality?",Legal Bases
2020,Bangladesh,BGD,South Asia,Lower middle income,18,"The Child Marriage Restraint Act, 2017, Sec. 2(i), (iii)",Yes,"The Child Marriage Restraint Act, 2017, Sec. 19",No,No applicable provisions could be located,Yes,"Child Marriage Restraint Act, 2017, Secs. 5 and 7-9",Yes,"Domestic Violence (Prevention and Protection) Act, 2010, Secs. 21, 22 and 30; The Penal Code, 1860",Yes,"Domestic Violence (Prevention and Protection) Act, 2010, Ch. 5, Sec. 21",Yes,"National Identity Registration Act 2010, Sec. 5; ID card application procedures",Yes,"Constitution of Bangladesh, Art. 152",Yes,"Constitution of Bangladesh, Arts. 7 and 26"
2020,Barbados,BRB,Latin America & Caribbean,High income,18,"Marriage Act, Sec. 2 and 26(1); Minors Act, 1974, Sec. 3",Yes,"Marriage Act, Sec. 4(1) and 26",Yes,"Marriage Act, Sec. 4(1)",Yes,"Marriage Act, Sec. 37",No,No applicable provisions could be located,Yes,"Domestic Violence (Protection Orders) Act, Sec. 18-22",Yes,"Statistics Act Ch. 192, Sec. 24; ID card application procedures",No,The Constitution of Barbados,N/A,
2020,Belarus,BLR,Europe & Central Asia,Upper middle income,18,"Marriage and Family Code of the Republic of Belarus, Art. 18",Yes,"Marriage and Family Code of the Republic of Belarus, Art. 18",Yes,"Marriage and Family Code of the Republic of Belarus, Art. 45",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Law on Basic Activities Aimed at Offence Prevention, Art. 31",N/A,No applicable provisions could be located ,No,Constitution of the Republic of Belarus,N/A,
2020,Belgium,BEL,High income: OECD,High income,18,"Code Civil, Art 144",Yes,"Code Civil, Arts. 145 et 148",Yes,"Code Civil, Arts. 144 et 184",Yes,"Code Pénal, Art. 265",Yes,"Code penal, Art. 410",Yes,Loi du 15 mai 2012,Yes,"Loi Relative aux Registres de la Population, aux Cartes Documents de Séjour, Art. 6; ID card application form",No,La Constitution Belge,N/A,
2020,Belize,BLZ,Latin America & Caribbean,Upper middle income,18,"Marriage Act, Sec. 5(3)",Yes,"Marriage Act, Secs. 4(1), 5(1) and 6",Yes,"Marriage Act, Secs. 4(1), 34 and 58",Yes,"Criminal Code, Secs. 315, 317 and 318",Yes,"Domestic Violence Act, 2007, Sec. 28",Yes,"Domestic Violence Act, 2007, Part III",N/A,No applicable provisions could be located ,No,No applicable provisions could be located,N/A,
2020,Benin,BEN,Sub-Saharan Africa,Lower middle income,18,"Loi No. 2002–07 Portant Code des personnes et de la famille, Arts. 120 and 123",Yes,"Loi No. 2002–07 Portant Code des personnes et de la famille, Arts. 120 et 123",Yes,"Loi No. 2002-07 Portant Code des personnes et de la famille, Arts. 144-148",No,No applicable provisions could be located,Yes,"Loi No. 2011-26 du 09 janvier 2012 Portant prévention et répression des violences faites aux femmes, Arts. 30, 32 et 33",Yes,"Loi No. 2011-26 du 09 janvier 2012 Portant prévention et répression des violences faites aux femmes, Art. 16",No,ID card application procedures ,Yes,"Constitution de la République du Bénin, Art. 98",Yes,"Constitution de la République du Bénin, Arts. 26 and 98"
2020,Bhutan,BTN,South Asia,Lower middle income,18,"Marriage Act of Bhutan, 1980, Kha 1-11 and 8-20; Child Care and Protection Act of Bhutan 2011, Art. 16",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Marriage Act of Bhutan, 1980, Kha 8-20",Yes,"Domestic Violence Prevention Act of Bhutan 2013, Secs. 75-76",Yes,"Domestic Violence Prevention Act of Bhutan 2013, Ch. VI; Domestic Violence Prevention Rules and Regulations, 2015, Ch. 5",Yes,ID card application procedures; ID card application form,No,Constitution of the Kingdom of Bhutan,N/A,
2020,Bolivia,BOL,Latin America & Caribbean,Lower middle income,18,"Código Civil, Art. 4; Código de las Familias y del Proceso Familiar, Art. 139",Yes,"Código de las Familias y del Proceso Familiar, Art. 139",No,No applicable provisions could be located,No,No applicable provisions could be located,Yes,"Ley No. 348, Art. 84(Art. 272 bis)",Yes,"Ley No. 348, Arts. 61-68; Ley No. 1674, Cap. IV y VI",Yes,"Ley No.145 del Servicio General de Identificación Personal y del Servicio General de  Licencias  para Conducir, Arts. 4(a) y 18 (I); ID card application procedures",No,Constitución Política del Estado Plurinacional de Bolivia,N/A,
2020,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,18,"Family Law of the Federation of the Bosnia and Herzegovina, Art. 15(1); Family Law the Republika Srpska, Art. 36(1)",Yes,"Family Law of the Federation of the Bosnia and Herzegovina, Art. 15(2); Family Law the Republika Srpska, Art. 36(2)",Yes,"Family Law of the Federation of the Bosnia and Herzegovina, Art. 34 and 39(1); Family Law the Republika Srpska, Art. 45 and 51",Yes,"Criminal Code of the Federation of Bosnia and Herzegovina, Art. 212; Criminal Code of the Republika Srpska, Art. 182",Yes,"Criminal Code of the Republika Srpska, Art. 190; Criminal Code of the Federation of Bosnia and Herzegovina, Art. 218",Yes,"Law on Protection from Domestic Violence in the Federation of Bosnia and Herzegovina, Arts. 3, 4, 5 and Part IV; Law on Protection from Domestic Violence of the Republika Srpska, Part IV",Yes,"Law on Identity Cards, Arts. 1 and 3 ",No,Constitution of Bosnia and Herzegovina,N/A,
2020,Botswana,BWA,Sub-Saharan Africa,Upper middle income,21,"Marriage Act, Sec. 15",Yes,"Marriage Act, Secs. 14 and 15",No,No applicable provisions could be located,Yes,"Marriage Act, Sec. 19",No,No applicable provisions could be located,Yes,"Domestic Violence Act, Secs. 3-8",Yes,National Registration Act; ID card application procedures,Yes,"Constitution of Botswana, Art. 15",No,"Constitution of Botswana, Art. 15(4)"
